N;Q
617.9999999999998; 187.73641752011997
618.9999999999998; 187.72824727199324
619.9999999999998; 187.7060742182543
620.9999999999998; 187.66783432482626
622; 187.61630709413234
622.9999999999998; 187.55520381072114
623.9999999999998; 187.4882357591415
624.9999999999998; 187.41911422394202
625.9999999999998; 187.35132925039204
627; 187.28672048328323
627.9999999999998; 187.22638182182337
628.9999999999998; 187.17140351635098
629.9999999999998; 187.1228758172049
630.9999999999998; 187.0818234633654
632; 187.04781449012353
632.9999999999998; 187.01898750778173
633.9999999999998; 186.99342107163514
635; 186.96919373697912
635.9999999999998; 186.9443881105937
637; 186.91778209888608
637.9999999999998; 186.88963136305992
638.9999999999998; 186.8603805903968
640; 186.83047446817835
640.9999999999998; 186.80035768368626
642; 186.77043476025275
642.9999999999998; 186.74091042171054
643.9999999999998; 186.71192738278944
645; 186.68362833906778
645.9999999999998; 186.6561559861237
647; 186.62960296654757
647.9999999999998; 186.60341430775264
648.9999999999998; 186.57658372118712
650; 186.5480957372565
650.9999999999998; 186.51693488636622
651.9999999999998; 186.48212030813838
652.9999999999998; 186.4445464615201
653.9999999999998; 186.40790439238583
655; 186.3761132835354
655.9999999999998; 186.35309231776858
656.9999999999998; 186.34276027429675
657.9999999999998; 186.3465843785069
658.9999999999998; 186.3577860142866
660; 186.3678547612298
660.9999999999998; 186.36828019893042
661.9999999999998; 186.3505519069824
662.9999999999998; 186.30768372396025
663.9999999999998; 186.24518379047635
665; 186.1746801453634
665.9999999999998; 186.10784276384987
666.9999999999998; 186.05634162116422
667.9999999999998; 186.03138657860586
668.9999999999998; 186.0324409375145
670; 186.04653593519686
670.9999999999998; 186.06010545594
671.9999999999998; 186.059583384031
673; 186.03143192254214
673.9999999999998; 185.96910699621466
675; 185.88218523998185
675.9999999999998; 185.7825069354736
676.9999999999998; 185.6819123643198
678; 185.59224180815028
678.9999999999998; 185.52353621708505
680; 185.47606120367178
680.9999999999998; 185.44677855268276
681.9999999999998; 185.43264745930503
683; 185.43062711872545
683.9999999999998; 185.43757196463133
685; 185.44882162676416
685.9999999999998; 185.45857603359335
686.9999999999998; 185.46100728154235
688; 185.4502874670349
688.9999999999998; 185.42066284661635
689.9999999999998; 185.3713314320229
690.9999999999998; 185.3094700227656
691.9999999999998; 185.24297851436694
693; 185.17975680234952
693.9999999999998; 185.12770472046566
694.9999999999998; 185.09195882020734
695.9999999999998; 185.06752222056073
696.9999999999998; 185.0470757666082
698; 185.02330030343197
698.9999999999998; 184.98887667611424
699.9999999999998; 184.93758905140302
700.9999999999998; 184.87318090995348
701.9999999999998; 184.80467878598972
703; 184.7411577212627
703.9999999999998; 184.69169275752353
704.9999999999998; 184.6650626438952
705.9999999999998; 184.66128559064012
706.9999999999998; 184.67037885023277
708; 184.68181393418297
708.9999999999998; 184.68506235400048
709.9999999999998; 184.66960842710097
711; 184.62981133574704
711.9999999999998; 184.57222940279593
713; 184.50529817566257
713.9999999999998; 184.43745320176205
714.9999999999998; 184.3771300285093
716; 184.3313180265035
716.9999999999998; 184.29841862609504
718; 184.273675530557
718.9999999999998; 184.25232756231568
719.9999999999998; 184.22961354379737
721; 184.20107165399202
721.9999999999998; 184.1671000742495
723; 184.1320430480129
723.9999999999998; 184.10035889696331
724.9999999999998; 184.07650594278184
726; 184.0648963203292
726.9999999999998; 184.06605687717527
727.9999999999998; 184.0737455745219
728.9999999999998; 184.08104114441701
729.9999999999998; 184.08102231890857
731; 184.06676783004448
731.9999999999998; 184.03330565895325
732.9999999999998; 183.98346078308538
733.9999999999998; 183.92200742897194
734.9999999999998; 183.85371982314393
736; 183.78337219213245
736.9999999999998; 183.71546132004426
737.9999999999998; 183.65171912697434
738.9999999999998; 183.5922905229216
739.9999999999998; 183.53730155211127
741; 183.48687825876868
741.9999999999998; 183.44115592268145
742.9999999999998; 183.40058928949733
743.9999999999998; 183.3660265616313
744.9999999999998; 183.33834017684984
746; 183.31840257291947
746.9999999999998; 183.30708225271445
747.9999999999998; 183.30270198955213
749; 183.2966610409461
749.9999999999998; 183.27919277040633
751; 183.24053054144278
751.9999999999998; 183.17090771756543
752.9999999999998; 183.06307273260413
754; 182.92611820058258
754.9999999999998; 182.77566798818623
756; 182.62736311921347
756.9999999999998; 182.49684461746273
757.9999999999998; 182.39904688291372
759; 182.3359551044028
759.9999999999998; 182.29821135045276
760.9999999999998; 182.2760740507511
761.9999999999998; 182.2598016349852
762.9999999999998; 182.2396957739824
764; 182.21076761920858
764.9999999999998; 182.17690636877558
765.9999999999998; 182.14298475653942
766.9999999999998; 182.1138755163559
767.9999999999998; 182.09445138208093
769; 182.08797960675463
769.9999999999998; 182.09072179629746
770.9999999999998; 182.09702918910182
772.0000000000002; 182.10125298085586
773.0000000000002; 182.0977443672477
773.9999999999998; 182.0814376226796
775.0000000000002; 182.05370083012366
775.9999999999998; 182.0198949905091
777.0000000000002; 181.98544090482997
778.0000000000002; 181.95575937408057
778.9999999999998; 181.9361797919673
780.0000000000002; 181.92828849273062
781.0000000000002; 181.92869682165087
782.0000000000002; 181.9336720614606
783.0000000000002; 181.93948149489262
783.9999999999998; 181.94239256844884
785.0000000000002; 181.93888166781466
786.0000000000002; 181.92604338615774
787.0000000000002; 181.90108610915607
788.0000000000002; 181.86121822248754
788.9999999999998; 181.80364811183009
790.0000000000002; 181.7266123434451
791.0000000000002; 181.6356697398609
791.9999999999998; 181.5395557716385
793.0000000000002; 181.4470187721348
793.9999999999998; 181.36680707470666
795.0000000000002; 181.30728207706125
796.0000000000002; 181.26875230262053
796.9999999999998; 181.24391743604934
798.0000000000002; 181.22517912303718
798.9999999999998; 181.2049390092734
800.0000000000002; 181.17562116478805
801.0000000000002; 181.13292210779565
801.9999999999998; 181.07921934278656
803.0000000000002; 181.01770543005003
803.9999999999998; 180.95157292987548
805.0000000000002; 180.8840144025522
806.0000000000002; 180.81791398884857
806.9999999999998; 180.7546873157437
808.0000000000002; 180.69531340946511
808.9999999999998; 180.64077122436476
810.0000000000002; 180.59203971479457
811.0000000000002; 180.5500083080165
811.9999999999998; 180.51446897506588
813.0000000000002; 180.4844777610356
813.9999999999998; 180.45907712942738
815.0000000000002; 180.43730954374297
816.0000000000002; 180.41825462574218
816.9999999999998; 180.40281859965404
818.0000000000002; 180.39452877021947
818.9999999999998; 180.39711502067937
820.0000000000002; 180.41430723427482
821.0000000000002; 180.44983355929392
821.9999999999998; 180.5018047273066
823.0000000000002; 180.5502315942568
824.0000000000002; 180.57148655608069
825.0000000000002; 180.54194200871459
826.0000000000002; 180.43797034809467
826.9999999999998; 180.2410825975792
828.0000000000002; 179.97296218108414
829.0000000000002; 179.67419407181475
829.9999999999998; 179.3854733815958
831.0000000000002; 179.14749522225193
831.9999999999998; 178.99950606925404
833.0000000000002; 178.94627205907491
834.0000000000002; 178.9574209771594
834.9999999999998; 179.00100035544978
836.0000000000002; 179.04505772588828
836.9999999999998; 179.05770770263555
838.0000000000002; 179.02077497493738
839.0000000000002; 178.94642583238183
839.9999999999998; 178.85089391299036
841.0000000000002; 178.7504128547844
841.9999999999998; 178.66121629578552
843.0000000000002; 178.59641556174225
844.0000000000002; 178.5528917535021
844.9999999999998; 178.52226884900244
846.0000000000002; 178.49616812901004
846.9999999999998; 178.46621087429162
848.0000000000002; 178.4245572024138
849.0000000000002; 178.37073339641108
849.9999999999998; 178.30959989629744
851.0000000000002; 178.2461362585871
851.9999999999998; 178.18532203979439
853.0000000000002; 178.1320601390105
854.0000000000002; 178.08665400994173
854.9999999999998; 178.0422779659481
856.0000000000002; 177.99149306100477
856.9999999999998; 177.92686034908706
858.0000000000002; 177.84094115695027
859.0000000000002; 177.73006663201974
859.9999999999998; 177.60380675721836
861.0000000000002; 177.47463607773352
862.0000000000002; 177.35502913875246
862.9999999999998; 177.2574604854625
864.0000000000002; 177.19267977802517
864.9999999999998; 177.1566038896605
866.0000000000002; 177.13758806103985
867.0000000000002; 177.12392726343228
867.9999999999998; 177.10391646810672
869.0000000000002; 177.06620719818358
869.9999999999998; 177.0092355765399
871.0000000000002; 176.94219264781094
872.0000000000002; 176.87482061693856
872.9999999999998; 176.81686168886486
874.0000000000002; 176.77803641054874
874.9999999999998; 176.76149111591477
876.0000000000002; 176.75458482296182
877.0000000000002; 176.74235542305053
877.9999999999998; 176.70984080754138
879.0000000000002; 176.64207886779494
879.9999999999998; 176.52805901352437
881.0000000000002; 176.379212213304
882.0000000000002; 176.21488157733435
882.9999999999998; 176.05441912923777
884.0000000000002; 175.91717689263663
884.9999999999998; 175.82136728584527
886.0000000000002; 175.7677531295917
887.0000000000002; 175.74345814284393
887.9999999999998; 175.73524306934164
889.0000000000002; 175.72986865282422
889.9999999999998; 175.71417123616192
891.0000000000002; 175.68063571767016
892.0000000000002; 175.63121011132083
892.9999999999998; 175.56874521253974
894.0000000000002; 175.4960918167529
894.9999999999998; 175.41610071887143
896.0000000000002; 175.33144613559023
897.0000000000002; 175.24412601461228
897.9999999999998; 175.15597643049443
899.0000000000002; 175.06883345779346
900.0000000000002; 174.98453317106618
900.9999999999998; 174.90492880029652
902.0000000000002; 174.83203623074027
902.9999999999998; 174.76796110978916
904.0000000000002; 174.71481002618742
905.0000000000002; 174.67468956867938
905.9999999999998; 174.6495368920449
907.0000000000002; 174.63587793853858
907.9999999999998; 174.6238225250465
